snapshot_date,owner_group,repo_count,total_stars,avg_stars,total_forks,total_watchers,total_open_issues,archived_repo_count,active_repo_count,language_count
2026-04-19,jobright-ai,3,199,66.33333333333333,8,199,2,0,3,1
2026-04-19,AjayDonode,1,0,0,0,0,0,0,1,1
2026-04-19,Allghelierce,1,0,0,0,0,0,0,1,1
2026-04-19,AnsariRpa,1,0,0,0,0,0,0,1,1
2026-04-19,Bellamkonda-Nokesh,1,0,0,0,0,0,0,1,1
2026-04-19,Kinghaksbfv,1,0,0,0,0,0,0,1,1
2026-04-19,api-evangelist,1,0,0,0,0,0,0,1,1
2026-04-19,faridd35,1,0,0,0,0,0,0,1,1
2026-04-19,prernak199-create,1,0,0,0,0,0,0,1,1
2026-04-19,przygm,1,0,0,0,0,0,0,1,1
2026-04-18,spiceai,1,2877,2877,186,2877,447,0,1,1
2026-04-18,Innevatekiae,1,1,1,0,1,0,0,1,1
2026-04-18,felixyustian,1,1,1,0,1,0,0,1,1
2026-04-18,gtougs,1,1,1,0,1,0,0,1,1
2026-04-18,rizwanbinakbar,1,1,1,0,1,0,0,1,1
2026-04-18,AhmadArifff,1,0,0,0,0,0,0,1,1
2026-04-18,Bryan701701,1,0,0,0,0,0,0,1,1
2026-04-18,Costinha66,1,0,0,0,0,0,0,1,1
2026-04-18,Issa-am,1,0,0,0,0,0,0,1,1
2026-04-18,MengYanUstc,1,0,0,0,0,0,0,1,1
2026-04-18,RajashekharChaduvu588,1,0,0,0,0,0,0,1,1
2026-04-18,Tbach1203,1,0,0,0,0,0,0,1,1
2026-04-18,ThePrivacyPrince,1,0,0,0,0,0,0,1,1
2026-04-18,Xhinsoo,1,0,0,0,0,0,0,1,1
2026-04-18,anentropic,1,0,0,0,0,6,0,1,1
2026-04-18,dptel22,1,0,0,0,0,1,0,1,1
2026-04-18,hitesh-mehta,1,0,0,0,0,0,0,1,1
2026-04-18,hritikanalytics,1,0,0,0,0,0,0,1,1
2026-04-18,restuarifp,1,0,0,0,0,0,0,1,1
2026-04-18,woly1011,1,0,0,0,0,0,0,1,1
2026-04-16,apache,10,245001,24500.1,100483,245001,6662,0,10,6
2026-04-16,ClickHouse,2,47255,23627.5,8469,47255,5951,0,2,2
2026-04-16,DataTalksClub,1,40023,40023,8012,40023,11,0,1,1
2026-04-16,PostHog,2,33090,16545,2619,33090,3491,0,2,1
2026-04-16,kestra-io,1,26707,26707,2553,26707,499,0,1,1
2026-04-16,PrefectHQ,1,22187,22187,2266,22187,901,0,1,1
2026-04-16,airbytehq,1,21094,21094,5144,21094,2698,0,1,1
2026-04-16,redpanda-data,2,20602,10301,1660,20602,957,0,2,2
2026-04-16,argoproj,1,16618,16618,3498,16618,1401,0,1,1
2026-04-16,dagster-io,1,15333,15333,2097,15333,2681,0,1,1
2026-04-16,dbt-labs,1,12634,12634,2377,12634,806,0,1,1
2026-04-16,debezium,1,12620,12620,2908,12620,131,0,1,1
2026-04-16,StarRocks,1,11582,11582,2391,11582,988,0,1,1
2026-04-16,risingwavelabs,1,8933,8933,755,8933,1449,0,1,1
2026-04-16,growthbook,1,7659,7659,723,7659,791,0,1,1
2026-04-16,cloudquery,1,6372,6372,547,6372,127,0,1,1
2026-04-16,lukasmasuch,1,4421,4421,325,4421,28,0,1,1
2026-04-16,dathere,1,3597,3597,104,3597,46,0,1,1
2026-04-16,catalyst-cooperative,1,581,581,133,581,468,0,1,1
2026-04-16,LessUp,1,161,161,20,161,2,0,1,1
2026-04-16,Nageshn10,1,1,1,0,1,0,0,1,1
